,284.0
186,5.337308385661547
187,5.336274171099781
188,5.335057260825591
189,5.3336623554681
190,5.332094041446171
191,5.3303567938314345
192,5.328454979141185
193,5.326392858062347
194,5.324174588107972
195,5.321804226207506
196,5.319285731232158
197,5.316622966456812
198,5.313819701959742
199,5.310879616961529
200,5.3078063021045185
201,5.3046032616741545
202,5.301273915763522
203,5.297821602382404
204,5.294249579512185
205,5.290561027107867
206,5.28675904904847
207,5.282846675037079
208,5.278826862451777
209,5.274702498148659
210,5.27047640021814
211,5.266151319695733
212,5.26172994222841
213,5.257214889697731
214,5.252608721800802
215,5.247913937590169
216,5.243132976973684
217,5.238268222175429
218,5.2333219991586475
219,5.228296579011729
220,5.223194179298186
221,5.218016965371602
222,5.212767051656406
223,5.207446502895474
224,5.202057335365363
225,5.196601518060051
226,5.1910809738440475
227,5.185497580575667
228,5.1798531722012715
229,5.174149539821231
230,5.168388432728428
231,5.162571559419949
232,5.156700588582753
233,5.150777150053984
234,5.144802835756614
235,5.138779200611072
236,5.132707763423526
237,5.126590007751408
238,5.120427382746834
239,5.114221303978478
240,5.10797315423251
241,5.101684284293123
242,5.095356013703247
243,5.088989631505921
244,5.0825863969669
245,5.076147540278959
246,5.069674263248409
247,5.0631677399642765
248,5.056629117450653
249,5.050059516302608
250,5.043460031306151
251,5.036831732042646
252,5.030175663478104
253,5.023492846537744
254,5.016784278666222
255,5.010050934373917
256,5.003293765769623
257,4.996513703080034
258,4.989711655156353
259,4.9828885099683635
260,4.976045135086316
261,4.969182378150931
262,4.96230106733184
263,4.955402011774765
264,4.9484860020377415
265,4.941553810516664
266,4.934606191860423
267,4.92764388337595
268,4.920667605423369
269,4.913678061801571
270,4.90667594012443
271,4.899661912187905
272,4.892636634328287
273,4.885600747771784
274,4.878554878975711
275,4.871499639961464
276,4.864435628639512
277,4.857363429126611
278,4.850283612055427
279,4.843196734876783
280,4.836103342154699
281,4.829003965854423
282,4.821899125623631
283,4.814789329066957
284,4.807675072014043
285,4.8005568387812625
286,4.793435102427271
287,4.786310325002559
288,4.779182957793139
289,4.77205344155853
290,4.764922206764172
291,4.757789673808425
292,4.75065625324426
293,4.743522345995822
294,4.736388343569936
295,4.729254628262729
296,4.722121573361478
297,4.71498954334177
298,4.707858894060147
299,4.700729972942305
300,4.6936031191669745
301,4.686478663845566
302,4.679356930197743
303,4.672238233722949
304,4.665122882368029
305,4.658011176691057
306,4.650903410021403
307,4.643799868616208
308,4.636700831813279
309,4.629606572180557
310,4.6225173556621915
311,4.615433441721333
312,4.60835508347971
313,4.601282527854067
314,4.594216015689566
315,4.587155781890168
316,4.5801020555461305
317,4.573055060058648
318,4.566015013261714
319,4.558982127541294
320,4.5519566099518185
321,4.544938662330134
322,4.5379284814069045
323,4.530926258915562
324,4.523932181698862
325,4.516946431813079
326,4.509969186629929
327,4.503000618936236
328,4.49604089703143
329,4.489090184822908
330,4.482148641919307
331,4.475216423721754
332,4.468293681513117
333,4.461380562545326
334,4.454477210124795
335,4.447583763695982
336,4.440700358923166
337,4.433827127770435
338,4.426964198579952
339,4.4201116961485445
340,4.413269741802638
341,4.406438453471582
342,4.399617945759405
343,4.392808330015033
344,4.386009714401002
345,4.379222203960712
346,4.3724459006842356
347,4.365680903572733
348,4.358927308701498
349,4.352185209281659
350,4.345454695720579
351,4.338735855680971
352,4.332028774138764
353,4.3253335334397525
354,4.318650213355044
355,4.311978891135341
356,4.305319641564088
357,4.298672537009489
358,4.2920376474754445
359,4.285415040651422
360,4.278804781961269
361,4.272206934611026
362,4.265621559635724
363,4.259048715945221
364,4.252488460369069
365,4.245940847700463
366,4.239405930739268
367,4.232883760334155
368,4.226374385423865
369,4.2198778530776195
370,4.213394208534696
371,4.2069234952431875
372,4.200465754897952
373,4.1940210274778
374,4.187589351281899
375,4.181170762965438
376,4.174765297574563
377,4.1683729885805825
378,4.161993867913488
379,4.155627965994781
380,4.149275311769628
381,4.142935932738363
382,4.136609854987337
383,4.130297103219161
384,4.123997700782304
385,4.117711669700114
386,4.111439030699234
387,4.105179803237448
388,4.09893400553096
389,4.092701654581125
390,4.086482766200625
391,4.080277355039135
392,4.074085434608459
393,4.067907017307153
394,4.0617421144446695
395,4.055590736264995
396,4.0494528919698265
397,4.043328589741274
398,4.037217836764111
399,4.03112063924757
400,4.025037002446714
401,4.0189669306833675
402,4.012910427366627
403,4.00686749501298
404,4.000838135265991
405,3.9948223489156245
406,3.9888201359171536
407,3.9828314954097173
408,3.976856425734486
409,3.9708949244524803
410,3.964946988362021
411,3.9590126135158448
412,3.9530917952378712
413,3.9471845281396343
414,3.9412908061363967
415,3.9354106224629337
416,3.929543969689009
417,3.923690839734542
418,3.9178512238844765
419,3.9120251128033483
420,3.9062124965495717
421,3.900413364589438
422,3.8946277058108385
423,3.8888555085367122
424,3.8830967605382387
425,3.8773514490477514
426,3.871619560771415
427,3.8659010819016397
428,3.8601959981292544
429,3.854504294655438
430,3.8488259562034184
431,3.8431609670299345
432,3.8375093109364817
433,3.8318709712803214
434,3.8262459309852885
435,3.820634172552376
436,3.815035678070114
437,3.809450429224741
438,3.8038784073101812
439,3.798319593237819
440,3.792773967546086
441,3.7872415104098502
442,3.781722201649633
443,3.776216020740634
444,3.770722946821583
445,3.765242958703414
446,3.759776034877775
447,3.7543221535253637
448,3.7488812925240995
449,3.743453429457136
450,3.73803854162072
451,3.7326366060318845
452,3.7272475994360033
453,3.7218714983141847
454,3.716508278890526
455,3.711157917139226
456,3.705820388791553
457,3.700495669342677
458,3.695183734058366
459,3.6898845579815527
460,3.684598115938769
461,3.679324382546456
462,3.674063332217144
463,3.6688149391655163
464,3.6635791774143485
465,3.658356020800335
466,3.6531454429797954
467,3.647947417434268
468,3.6427619174759966
469,3.637588916253306
470,3.632428386755869
471,3.6272803018198685
472,3.6221446341330643
473,3.617021356239749
474,3.6119104405456137
475,3.606811859322508
476,3.6017255847131144
477,3.596651588735523
478,3.5915898432877187
479,3.5865403201519763
480,3.581502990999163
481,3.5764778273929725
482,3.5714648007940477
483,3.566463882564043
484,3.5614750439695966
485,3.5564982561862175
486,3.5515334903021083
487,3.546580717321893
488,3.541639908170286
489,3.536711033695677
490,3.5317940646736465
491,3.5268889718104113
492,3.521995725746195
493,3.517114297058539
494,3.512244656265537
495,3.5073867738290097
496,3.5025406201576095
497,3.497706165609868
498,3.4928833804971773
499,3.488072235086709
500,3.4832726996042767
501,3.478484744237137
502,3.473708339136733
503,3.4689434544213853
504,3.464190060178918
505,3.459448126469243
506,3.4547176233268795
507,3.449998520763426
508,3.4452907887699786
509,3.4405943973195052
510,3.43590931636916
511,3.4312355158625563
512,3.426572965731991
513,3.4219216359006213
514,3.417281496284588
515,3.412652516795113
516,3.4080346673405293
517,3.4034279178282825
518,3.3988322381668876
519,3.3942475982678366
520,3.389673968047479
521,3.385111317428843
522,3.380559616343435
523,3.3760188347329887
524,3.371488942551185
525,3.3669699097653236
526,3.3624617063579674
527,3.35796430232855
528,3.353477667694939
529,3.3490017724949794
530,3.344536586787984
531,3.340082080656214
532,3.335638224206302
533,3.331204987570665
534,3.326782340908866
535,3.322370254408964
536,3.317968698288814
537,3.313577642797358
538,3.309197058215866
539,3.3048269148591642
540,3.300467183076827
541,3.2961178332543453
542,3.2917788358142603
543,3.2874501612172846
544,3.283131779963382
545,3.2788236625928295
546,3.274525779687258
547,3.2702381018706532
